transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
moose,0.96866715,NsmsEa2g,220,1.045,1.485
book,0.9643034,NsmsEa2g,221,0.77,0.96
grapes,0.98762906,NsmsEa2g,222,0.72,0.96
seesaw,0.98762906,NsmsEa2g,223,1.59,2.085
Castle,0.98426366,NsmsEa2g,224,1.1500000000000001,1.345
pelican,0.98762906,NsmsEa2g,225,0.89,1.07
egg,0.98762906,NsmsEa2g,226,0.805,1.035
cat,0.93622804,NsmsEa2g,227,0.8250000000000001,1
porcupine,0.98762906,NsmsEa2g,228,1.745,1.855
cross,0.9727302,NsmsEa2g,229,1.03,1.41
scales,0.9178352,NsmsEa2g,230,1.805,2.255
tripod,0.98762906,NsmsEa2g,231,1.445,1.955
ladybug,0.98762906,NsmsEa2g,232,1.445,1.95
safety pin,0.95986617,NsmsEa2g,233,1.175,1.3
spaghetti,0.98762906,NsmsEa2g,234,NA,NA
sweater,0.98762906,NsmsEa2g,235,0.99,1.185
carrot,0.98762906,NsmsEa2g,236,1.105,1.31
glasses,0.98762906,NsmsEa2g,237,0.925,1.205
hippo,0.98762906,NsmsEa2g,238,1.2550000000000001,1.49
thumb,0.98762906,NsmsEa2g,239,1.0849999999999997,1.3399999999999999
shell,1,NsmsEa2g,240,0.875,1.34
leg,0.98762906,NsmsEa2g,241,0.74,1.0050000000000001
nurse,0.98762906,NsmsEa2g,242,1.315,1.76
ear,0.9820321,NsmsEa2g,243,0.8150000000000001,1.175
boat,0.98762906,NsmsEa2g,244,1.79,2.295
octopus,0.98762906,NsmsEa2g,245,0.9,1.04
Barrel,0.9782214,NsmsEa2g,246,0.745,1.11
fridge,0.98762906,NsmsEa2g,247,1.24,1.45
lawnmower,1,NsmsEa2g,248,1.585,1.7850000000000001
ax,0.5846507,nww9eCi7,1,1.3549999999999998,1.6099999999999997
grapes,0.96534469999999994,nww9eCi7,2,1.1249999999999998,1.3649999999999998
tent,0.9765212,nww9eCi7,3,1.32,1.5150000000000001
microphone,0.98762906,nww9eCi7,4,1.37,2.09
pan,0.9312136,nww9eCi7,5,1.465,1.8800000000000001
raccoon,0.9335593,nww9eCi7,6,2.04,2.235
man,0.9886686,nww9eCi7,7,0.965,1.455
camel,0.92941535,nww9eCi7,8,1.12,1.62
monkey,0.98762906,nww9eCi7,9,1.195,1.72
parachute,0.98762906,nww9eCi7,10,1.615,2.285
box,0.9733181,nww9eCi7,11,1.99,2.27
witch,0.9135769,nww9eCi7,12,1.25,1.45
flag,0.98762906,nww9eCi7,13,1.41,1.745
drawer,0.9725987,nww9eCi7,14,1.41,1.75
nail,0.98762906,nww9eCi7,15,1.065,1.575
snake,0.98762906,nww9eCi7,16,1.23,3.96
dog,0.8917207,nww9eCi7,17,1.05,1.385
pelican,0.98762906,nww9eCi7,18,1.2,1.805
Grill,0.97584254,nww9eCi7,19,2.09,2.4749999999999996
spider,1,nww9eCi7,20,1.495,1.915
heart,1,nww9eCi7,21,0.9199999999999998,1.1349999999999998
skunk,0.98762906,nww9eCi7,22,1.225,1.435
yoyo,0.9265728,nww9eCi7,23,2.715,3.15
toilet,0.98762906,nww9eCi7,24,1.8149999999999997,2.2249999999999996
spider,1,nww9eCi7,25,1.53,1.96
10,0.8219477,nww9eCi7,26,1.585,1.915
hippopotamus,0.98762906,nww9eCi7,27,2,2.43
acorn,0.98762906,nww9eCi7,28,1.925,2.495
safe,0.98762906,nww9eCi7,29,1.7550000000000001,2.005
jar,0.98762906,nww9eCi7,30,1.3949999999999998,1.7849999999999997
piano,0.98762906,nww9eCi7,31,1.1,1.6300000000000001
fire,0.9509755,nww9eCi7,32,2.11,2.58
bra,0.98762906,nww9eCi7,33,1.2650000000000001,1.68
wrench,0.98762906,nww9eCi7,34,1.1300000000000001,1.3800000000000001
pool,0.88692904,nww9eCi7,35,1.55,1.8800000000000001
desk,0.88965887,nww9eCi7,36,1.5599999999999998,1.7899999999999998
fly,0.98762906,nww9eCi7,37,1.8699999999999997,2.2299999999999995
ruler,0.98762906,nww9eCi7,38,1.12,1.655
lawnmower,1,nww9eCi7,39,1.28,1.965
flag,0.98762906,nww9eCi7,40,1.285,1.6600000000000001
rope,0.98762906,nww9eCi7,41,1.51,1.7650000000000001
