transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
curtains,0.97692966,S4TnrmmA,92,NA,NA
Pig,0.98762906,S4TnrmmA,93,1.5599999999999998,1.7549999999999997
Pizza,0.98762906,S4TnrmmA,94,1.265,1.7099999999999997
razor,0.9611021,S4TnrmmA,95,1.2099999999999997,1.4099999999999997
stethoscope,0.98762906,S4TnrmmA,96,NA,NA
motorcycle,0.98762906,S4TnrmmA,97,1.0299999999999998,1.4849999999999999
boiled egg,0.9623319,S4TnrmmA,98,1.6349999999999998,2.2099999999999995
pillow,0.98762906,S4TnrmmA,99,1.125,1.45
crackers,0.98762906,S4TnrmmA,100,1.0949999999999998,1.1999999999999997
heart,0.9392321,S4TnrmmA,101,1.16,1.275
seashell,1,S4TnrmmA,102,1.4199999999999997,1.8699999999999997
Zeppelin,0.98762906,S4TnrmmA,103,NA,NA
dresser,0.98762906,S4TnrmmA,104,NA,NA
corn,0.95079845,S4TnrmmA,105,1.15,1.4449999999999998
Snowman,0.98762906,S4TnrmmA,106,1.16,1.5899999999999999
saber,0.9846501,S4TnrmmA,107,1.5199999999999998,1.6699999999999997
flower,0.9743303,S4TnrmmA,108,1.3399999999999999,1.7499999999999998
camera,0.98762906,S4TnrmmA,109,1.155,1.665
dress coat,0.9938145,S4TnrmmA,110,2.1149999999999998,2.3649999999999998
pear,0.9356123,S4TnrmmA,111,1.1749999999999998,1.4349999999999998
diaper,0.98762906,S4TnrmmA,112,1.3199999999999998,1.7099999999999997
necktie,0.98762906,S4TnrmmA,113,1.68,1.93
mail,1,S4TnrmmA,114,1.5799999999999998,1.8799999999999997
leaf,0.9345691,S4TnrmmA,115,1.18,1.5
pelican,0.98762906,S4TnrmmA,116,1.225,1.4000000000000001
tomato,0.98762906,S4TnrmmA,117,1.435,1.82
dentist,0.98762906,S4TnrmmA,118,NA,NA
pumpkin,0.98762906,S4TnrmmA,119,1.325,1.425
wedding ring,0.96038747,S4TnrmmA,120,0.9049999999999999,1.7799999999999998
football,0.97035617,S4TnrmmA,121,1.2399999999999998,1.4399999999999997
housefly,0.98762906,S4TnrmmA,122,1.3999999999999997,2.01
kangaroo,0.98675483,S4TnrmmA,123,1.1249999999999998,1.6299999999999997
telescope,0.98762906,S4TnrmmA,124,1.045,1.615
traffic light,0.9401921,S4TnrmmA,125,1.2949999999999997,1.8849999999999998
flashlight,1,S4TnrmmA,126,1.2899999999999998,1.7499999999999998
waiter,0.98762906,S4TnrmmA,127,1.15,1.5199999999999998
deer,0.92073464,S4TnrmmA,128,1.5399999999999998,1.8349999999999997
neck,1,S4TnrmmA,129,NA,NA
feather,0.98762906,S4TnrmmA,130,1.16,1.2999999999999998
nose,0.97319156,S4TnrmmA,131,1.025,1.5599999999999998
nest,0.92416024,S4TnrmmA,132,1.3399999999999999,1.4499999999999997
mirror,0.98762906,S4TnrmmA,133,1.6500000000000001,1.975
seal,0.9713959,S4TnrmmA,134,1.2499999999999998,1.6299999999999997
drum,0.9602316,S4TnrmmA,135,1.3349999999999997,1.5649999999999997
saw,0.98762906,S4TnrmmA,136,0.9949999999999999,1.4099999999999997
can,NA,S4TnrmmA,137,1.5499999999999998,1.8799999999999997
wow,0.62321573,S4TnrmmA,138,1.2949999999999997,1.6149999999999998
cabbage,0.98762906,S4TnrmmA,139,1.29,1.565
broom,0.2541166,S4TnrmmA,140,1.09,1.375
moose,0.96731555,S4TnrmmA,141,1.21,1.6500000000000001
Grill,0.98762906,S4TnrmmA,142,1.445,1.74
rope,0.98762906,S4TnrmmA,143,0.9749999999999999,1.2049999999999998
smoke,0.931139,S4TnrmmA,144,1.9449999999999996,2.2649999999999997
goat,0.9672348,S4TnrmmA,145,1.4299999999999997,1.5949999999999998
pyramid,1,S4TnrmmA,146,0.9699999999999999,1.38
dress,0.98762906,S4TnrmmA,147,0.9999999999999999,1.2149999999999999
horse,0.98762906,S4TnrmmA,148,0.9149999999999998,1.2999999999999998
well,0.98762906,S4TnrmmA,149,1.16,1.4099999999999997
robot,0.98762906,S4TnrmmA,150,0.9149999999999998,1.3349999999999997
your,0.6172144,S4TnrmmA,151,1.7999999999999998,2.0749999999999997
lighthouse,0.98762906,S4TnrmmA,152,1.7299999999999998,2.135
painting,0.98762906,S4TnrmmA,153,1.8,1.92
lightbulb,0.915663,S4TnrmmA,154,0.9499999999999998,1.4799999999999998
button,0.98762906,S4TnrmmA,155,NA,NA
eyeball,0.98299915,S4TnrmmA,156,1.23,1.7
volcano,0.98762906,S4TnrmmA,157,1.325,1.48
desk,0.98762906,S4TnrmmA,158,1.32,1.435
umbrella,0.98762906,S4TnrmmA,159,1.1349999999999998,1.4149999999999998
panda,0.98762906,S4TnrmmA,160,1.2249999999999999,1.5999999999999996
that,0.65102756,S4TnrmmA,161,1.2799999999999998,1.38
crab,0.9515721,S4TnrmmA,162,1.1899999999999997,1.4899999999999998
banjo,0.98762906,S4TnrmmA,163,1.0899999999999999,1.5749999999999997
wing,0.94233185,S4TnrmmA,164,1.24,1.5050000000000001
sink,0.96030134,S4TnrmmA,165,1.195,1.355
monkey,0.97735554,S4TnrmmA,166,NA,NA
rocket,0.97589487,S4TnrmmA,167,1.2899999999999998,1.4299999999999997
jar,0.98762906,S4TnrmmA,168,0.6799999999999999,1.5599999999999998
badge,0.95904180000000006,S4TnrmmA,169,1.3999999999999997,1.6649999999999998
Aquarium,0.98762906,S4TnrmmA,170,1.6349999999999998,1.7799999999999998
seahorse,1,S4TnrmmA,171,1.33,1.725
Burger,0.9678775,S4TnrmmA,172,1.265,1.6299999999999997
trashcan,0.4932175,S4TnrmmA,173,1.2349999999999999,1.7399999999999998
violin,1,S4TnrmmA,174,1.18,1.6400000000000001
