transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
salt,0.98762906,OmLtwAt4,76,1.71,1.875
wing,0.97715145,OmLtwAt4,77,1.5,1.805
pyramid,0.98220485,OmLtwAt4,78,1.495,1.915
rocket,0.97698534,OmLtwAt4,79,1.0899999999999999,1.4349999999999998
briefcase suitcase,0.9938145,OmLtwAt4,80,NA,NA
snail,0.9243043,OmLtwAt4,81,1.445,1.78
dragon,0.98762906,OmLtwAt4,82,1.075,1.46
wrench,0.98338324,OmLtwAt4,83,1.55,1.98
bench,0.98762906,OmLtwAt4,84,0.875,1.32
flowers,0.98762906,OmLtwAt4,85,2.535,2.93
feather,0.8528464,OmLtwAt4,86,0.99,1.31
nail,0.84802467,OmLtwAt4,87,0.85,1.185
mailbox,0.96965903,OmLtwAt4,88,1.36,2.05
pool,0.97333825,OmLtwAt4,89,1.395,1.68
microscope,0.98762906,OmLtwAt4,90,1.195,1.7550000000000001
football bug,0.9127091,OmLtwAt4,91,2.46,3.245
dinosaur,0.98762906,OmLtwAt4,92,1.2449999999999999,1.7849999999999997
guitar,0.98762906,OmLtwAt4,93,1.0899999999999999,1.3599999999999999
palm tree,0.9737258,OmLtwAt4,94,1.8800000000000001,2.3850000000000002
hoof,0.8097949,OmLtwAt4,95,1.995,2.12
cheese,0.98762906,OmLtwAt4,96,1.8,2.1550000000000002
typewriter,0.98762906,OmLtwAt4,97,1.5250000000000001,1.82
trumpet,0.98762906,OmLtwAt4,98,1.02,1.465
tripod,0.98762906,OmLtwAt4,99,2.6,3.12
violin,0.9242075,OmLtwAt4,100,1.435,1.96
lighthouse,0.95599097,OmLtwAt4,101,2.285,2.96
Paperclip,0.98762906,OmLtwAt4,102,NA,NA
steering wheel,1,OmLtwAt4,103,1.195,1.78
tail,0.9613286,OmLtwAt4,104,1.4299999999999997,1.7849999999999997
egg,0.98762906,OmLtwAt4,105,2.085,2.29
sailboat,0.9242523,OmLtwAt4,106,1.24,1.7
piano,0.98762906,OmLtwAt4,107,1.175,1.56
