transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
trumpet,0.98762906,USuTlSte,48,0.785,1.115
map,0.9834042,USuTlSte,49,0.89,1.045
plate,0.9200876,USuTlSte,50,0.975,1.165
nurse,0.98762906,USuTlSte,51,0.935,1.4000000000000001
lamp,0.97395957,USuTlSte,52,NA,NA
hammer,0.98762906,USuTlSte,53,0.86,1.165
vacuum,0.98762906,USuTlSte,54,1.175,1.32
bird,0.9433115,USuTlSte,55,NA,NA
hose,0.9705354,USuTlSte,56,0.785,1.025
car,1,USuTlSte,57,1.17,1.495
binoculars,0.98762906,USuTlSte,58,0.965,1.545
kangaroo,0.98674756,USuTlSte,59,1.11,1.555
panda,0.98762906,USuTlSte,60,NA,NA
sandwich,0.98762906,USuTlSte,61,1.02,1.195
NA,NA,USuTlSte,62,0.835,1.165
dog,0.96671534,USuTlSte,63,0.935,1.25
bear,1,USuTlSte,64,0.89,1.2750000000000001
pencil,0.9622602,USuTlSte,65,NA,NA
Pine Apple,0.7907835,USuTlSte,66,2.24,2.36
spaghetti,0.98762906,USuTlSte,67,1.305,1.5150000000000001
necklace,0.98762906,USuTlSte,68,0.96,1.41
deer,0.9154691,USuTlSte,69,1.1,1.48
book,0.96530807,USuTlSte,70,1.1,1.2550000000000001
Pizza,0.98762906,USuTlSte,71,1.27,1.385
helmet,0.98762906,USuTlSte,72,0.96,1.35
skeleton,0.98762906,USuTlSte,73,1.435,1.635
rabbit,0.90620804,USuTlSte,74,1.16,1.415
Cube,0.98043054,USuTlSte,75,1.735,2.24
brush,0.98762906,USuTlSte,76,1.1400000000000001,1.655
hook,0.98762906,USuTlSte,77,1.085,1.315
robot,0.98762906,USuTlSte,78,1.05,1.435
waiter,0.9691334,USuTlSte,79,1,1.395
ring,0.98762906,USuTlSte,80,0.96,1.27
hanger,0.9774024,USuTlSte,81,0.785,1.5250000000000001
clown,0.98762906,USuTlSte,82,1.07,1.29
wheel,0.9322804,USuTlSte,83,1.09,1.575
mushroom,0.98762906,USuTlSte,84,1.56,1.9000000000000001
piggy bank,0.90281075,USuTlSte,85,1.445,1.585
bicycle,0.98762906,USuTlSte,86,0.895,1.405
flower,0.97455233,USuTlSte,87,1.24,1.495
purse,0.98762906,USuTlSte,88,1.315,1.6600000000000001
page,0.43208146,USuTlSte,89,1.065,1.36
grapes,0.98762906,USuTlSte,90,1.02,1.3
cabbage,0.98762906,USuTlSte,91,2.295,2.92
football,0.97035617,USuTlSte,92,1.375,1.48
syringe,0.98762906,USuTlSte,93,1.6300000000000001,2.005
skis,0.98762906,USuTlSte,94,1.3900000000000001,1.7750000000000001
Mouse,0.9740413,USuTlSte,95,1.245,1.62
snail,0.9765264,USuTlSte,96,1.09,1.41
fire,0.97601694,USuTlSte,97,1.01,1.18
easel,0.98762906,USuTlSte,98,1.115,1.605
chain,0.78471994,USuTlSte,99,0.97,1.215
eagle,0.98762906,USuTlSte,100,1.1,1.48
dinosaur,0.9752821,USuTlSte,101,1.115,1.73
City,0.98475766,USuTlSte,102,NA,NA
stove,0.98762906,USuTlSte,103,2.21,2.43
egg,0.92644465,USuTlSte,104,1.135,1.32
heart,1,USuTlSte,105,1.53,1.845
lightswitch,0.65630025,USuTlSte,106,1.465,2.15
foot,NA,USuTlSte,107,NA,NA
Church,0.9635439,USuTlSte,108,0.96,1.475
belt,0.98762906,USuTlSte,109,NA,NA
rocket,0.9755099,USuTlSte,110,1.065,1.29
piano,0.98762906,USuTlSte,111,1.195,1.45
beetle,0.97104996,USuTlSte,112,1.2550000000000001,1.3800000000000001
airplane,0.98762906,USuTlSte,113,1.03,1.52
worm,0.98762906,USuTlSte,114,1.115,1.495
closet,0.98762906,USuTlSte,115,1.31,1.56
shovel,0.6474004,USuTlSte,116,1.485,1.635
match,0.98762906,USuTlSte,117,1.365,1.605
rope,0.98762906,USuTlSte,118,0.9450000000000001,1.205
scarf,0.98762906,USuTlSte,119,1.155,1.32
toilet,0.98762906,USuTlSte,120,1.7650000000000001,2.035
showerhead,0.8491589,USuTlSte,121,0.91,1.71
whistle,0.98762906,USuTlSte,122,1.105,1.545
knee,0.9288257,USuTlSte,123,1.21,1.655
owl,0.98990285,USuTlSte,124,1.1300000000000001,1.46
helicopter,0.98762906,USuTlSte,125,NA,NA
drawer,0.98762906,USuTlSte,126,0.905,1.31
comb,0.9729688,USuTlSte,127,0.915,1.195
nest,0.98762906,USuTlSte,128,0.85,1.05
safe,0.97541916,USuTlSte,129,1.21,1.375
rockingchair,0.9368882,USuTlSte,130,1.365,1.975
purse,0.98762906,USuTlSte,131,NA,NA
ruler,0.98762906,USuTlSte,132,1.165,1.445
fireman,0.98762906,USuTlSte,133,1.23,1.5150000000000001
stethoscope,0.98762906,USuTlSte,134,2.1,2.205
pillow,0.969475,USuTlSte,135,NA,NA
hand,0.98762906,USuTlSte,136,0.975,1.195
tripod,0.98762906,USuTlSte,137,1.09,1.48
toaster,0.98762906,USuTlSte,138,0.635,1.1300000000000001
shell,0.74985474,USuTlSte,139,0.775,0.925
house,0.96873134,USuTlSte,140,NA,NA
doll,0.9716085,USuTlSte,141,0.85,1.2
slide,0.98762906,USuTlSte,142,0.9450000000000001,1.34
leather,0.8167664,USuTlSte,143,1.06,1.455
peacock,0.9862163,USuTlSte,144,NA,NA
finger,0.98762906,USuTlSte,145,1.075,1.425
Soldier,0.98762906,USuTlSte,146,1.09,1.24
fountain,0.9802124,USuTlSte,147,1.415,1.61
