transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
doll,0.9771987,dQU4SkYV,192,0.975,1.34
igloo,0.98762906,dQU4SkYV,193,1.22,1.465
fire hydrant,0.9874194,dQU4SkYV,194,1.29,1.77
zebra,0.98762906,dQU4SkYV,195,1.2099999999999997,1.4049999999999998
book,0.96525484,dQU4SkYV,196,0.88,1
cigarette,0.98762906,dQU4SkYV,197,1.98,2.39
swing,0.98762906,dQU4SkYV,198,1.035,1.33
tail,0.9661473,dQU4SkYV,199,1.71,2
needle,0.98762906,dQU4SkYV,200,1.065,1.355
rollerskate,0.9619218,dQU4SkYV,201,1.055,1.5350000000000001
rain,1,dQU4SkYV,202,1.0399999999999998,1.3749999999999998
carrot,0.98762906,dQU4SkYV,203,0.9649999999999999,1.2899999999999998
witch,0.91354996,dQU4SkYV,204,1.1400000000000001,1.29
bag,0.9764763,dQU4SkYV,205,0.895,1.215
crab,0.98762906,dQU4SkYV,206,1.28,1.61
cloud,0.98762906,dQU4SkYV,207,1.17,1.5350000000000001
octopus,0.98762906,dQU4SkYV,208,1.365,1.895
camera,0.98762906,dQU4SkYV,209,1.25,1.605
ladybug,0.98762906,dQU4SkYV,210,1.385,2.0300000000000002
dog,0.96720564,dQU4SkYV,211,0.885,2.705
dentures,0.98762906,dQU4SkYV,212,1.615,2.045
stairs,1,dQU4SkYV,213,1.085,1.29
picture,0.98762906,dQU4SkYV,214,1.2449999999999999,1.4899999999999998
harp,0.9724546,dQU4SkYV,215,0.91,1.095
saw,0.95707184,dQU4SkYV,216,1.03,1.33
mop,0.98762906,dQU4SkYV,217,0.9450000000000001,1.165
dentist,0.98762906,dQU4SkYV,218,1.055,1.2
glasses,0.98762906,dQU4SkYV,219,0.8649999999999999,1.3349999999999997
stethoscope,0.98762906,dQU4SkYV,220,1.79,2.4250000000000003
skeleton,0.98762906,dQU4SkYV,221,1.05,1.2750000000000001
seesaw,0.98762906,dQU4SkYV,222,1.16,1.565
bus,0.9764783,dQU4SkYV,223,0.96,1.1300000000000001
Pizza,0.98762906,dQU4SkYV,224,1.215,1.335
television,0.98762906,dQU4SkYV,225,1.645,2.05
knife,0.97481954,dQU4SkYV,226,0.96,1.25
turkey,0.98762906,dQU4SkYV,227,1.23,1.57
flag,0.98762906,dQU4SkYV,228,0.835,1.1500000000000001
canoe,0.98762906,dQU4SkYV,229,1.03,1.315
neck,0.9622996,dQU4SkYV,230,0.9550000000000001,1.11
snail,0.98762906,dQU4SkYV,231,0.9849999999999999,1.3149999999999997
cheese,0.98762906,dQU4SkYV,232,0.93,1.175
pyramid,0.98762906,dQU4SkYV,233,1.1500000000000001,1.51
panda,0.98762906,dQU4SkYV,234,1.235,1.5
eagle,0.98762906,dQU4SkYV,235,1.245,1.605
dress,0.98762906,dQU4SkYV,236,1.6600000000000001,1.845
shirt,0.98762906,dQU4SkYV,237,1.24,1.5050000000000001
map,0.98762906,dQU4SkYV,238,1.12,1.33
palm tree,1,dQU4SkYV,239,1.665,2.255
butter,0.98762906,dQU4SkYV,240,0.905,1.215
peanut,0.98762906,dQU4SkYV,241,0.875,1.105
banjo,0.98762906,dQU4SkYV,242,0.925,1.46
saxophone,0.98762906,dQU4SkYV,243,1.385,2.045
volcano,0.98762906,dQU4SkYV,244,0.98,1.59
safety pin,0.9305453,dQU4SkYV,245,1.21,1.92
ball,0.97245574,dQU4SkYV,246,1.315,1.68
roof,0.98762906,dQU4SkYV,247,1.565,1.72
