transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
badge,0.96796227,AeNtfGhY,28,1.29,1.5350000000000001
vase,0.56452096,AeNtfGhY,29,1.055,1.245
ball,0.9379817,AeNtfGhY,30,1.085,1.32
octopus,0.98762906,AeNtfGhY,31,1.24,1.355
ladder,0.96533823,AeNtfGhY,32,1.59,1.795
bicycle,0.98762906,AeNtfGhY,33,0.8200000000000001,0.9550000000000001
dentist,0.98762906,AeNtfGhY,34,NA,NA
shovel,0.98762906,AeNtfGhY,35,1.425,1.56
pirate,0.98762906,AeNtfGhY,36,1.11,1.335
unicycle,0.98762906,AeNtfGhY,37,1.08,1.57
camel,1,AeNtfGhY,38,1.03,1.225
skateboard,0.98762906,AeNtfGhY,39,1.135,1.58
penguin,0.98762906,AeNtfGhY,40,0.965,1.105
umbrella,0.98762906,AeNtfGhY,41,1.05,1.315
flashlight,1,AeNtfGhY,42,2.02,2.515
NA,NA,AeNtfGhY,43,1.08,1.28
chimney,0.98762906,AeNtfGhY,44,1.565,1.72
hippo,0.98762906,AeNtfGhY,45,NA,NA
Genie,1,AeNtfGhY,46,1.2650000000000001,1.5350000000000001
clothespin,0.976134,AeNtfGhY,47,2.295,2.475
nose,0.9708636,AeNtfGhY,48,1.84,2.095
strawberry,0.98762906,AeNtfGhY,49,1.29,1.75
crackers,0.98762906,AeNtfGhY,50,1.135,1.295
box,0.98762906,AeNtfGhY,51,0.9400000000000001,1.11
Sun,0.94758636,AeNtfGhY,52,1.025,1.22
doll,0.9744529,AeNtfGhY,53,0.96,1.235
fish,1,AeNtfGhY,54,0.84,0.99
bride,0.98762906,AeNtfGhY,55,1.595,1.8800000000000001
ostrich,0.98762906,AeNtfGhY,56,1.3900000000000001,1.5350000000000001
wig,0.97393405,AeNtfGhY,57,1.0150000000000001,1.195
bandaid,0.94899946,AeNtfGhY,58,1.08,1.3
ruler,0.97356194,AeNtfGhY,59,1.09,1.285
Knight,0.9822561,AeNtfGhY,60,1.2550000000000001,1.3900000000000001
eye,0.6549053,AeNtfGhY,61,1.09,1.435
Church,0.98762906,AeNtfGhY,62,0.995,1.19
nest,0.98762906,AeNtfGhY,63,1.17,1.425
fireman,0.98762906,AeNtfGhY,64,1.075,1.6400000000000001
sock,0.96511656,AeNtfGhY,65,1.025,1.325
yoyo,0.92661834,AeNtfGhY,66,1.745,2.345
wheat,0.98762906,AeNtfGhY,67,1.33,1.54
pear,0.9746003,AeNtfGhY,68,2.0100000000000002,2.4
Bowl,0.93394196,AeNtfGhY,69,0.88,1.35
table,0.91974807,AeNtfGhY,70,1.46,2.005
NA,NA,AeNtfGhY,71,0,4.335
scissors,0.98762906,AeNtfGhY,72,1.165,1.565
swing,0.98762906,AeNtfGhY,73,1.26,1.55
sandwich,0.98762906,AeNtfGhY,74,1.195,1.75
flower,0.974188,AeNtfGhY,75,1.3,1.805
beard,0.98762906,AeNtfGhY,76,1.025,1.5250000000000001
finger,0.98762906,AeNtfGhY,77,1.07,1.59
fire,0.9676519,AeNtfGhY,78,1.17,1.725
car,1,AeNtfGhY,79,0.9450000000000001,1.3900000000000001
chain,0.98762906,AeNtfGhY,80,1.43,1.9000000000000001
bag,0.94140995,AeNtfGhY,81,1.555,2.07
NA,NA,AeNtfGhY,82,0,4.335
lightbulb,0.91566277,AeNtfGhY,83,0.805,1.51
Cube,0.78829604,AeNtfGhY,84,1.59,1.94
rocket,0.96473664,AeNtfGhY,85,1.165,1.385
frog,0.9839434,AeNtfGhY,86,1.065,1.5150000000000001
sink,0.9603057,AeNtfGhY,87,1.575,1.75
door,0.95071924,AeNtfGhY,88,0.925,1.41
basket,0.9748109,AeNtfGhY,89,0.8150000000000001,1.465
lightning,0.98762906,AeNtfGhY,90,1.855,2.35
fly,0.98762906,AeNtfGhY,91,1.85,2.24
cat,0.7882627,AeNtfGhY,92,0.91,1.235
flower,0.9743708,AeNtfGhY,93,1.045,1.57
typewriter,0.98762906,AeNtfGhY,94,0.98,1.69
beaver,0.98762906,AeNtfGhY,95,1.46,2.02
banjo,0.98762906,AeNtfGhY,96,1.025,1.8
lightswitch,0.64786947,AeNtfGhY,97,3.065,3.6
shower,0.98762906,AeNtfGhY,98,1.365,1.8800000000000001
candle,0.96008885,AeNtfGhY,99,0.985,1.6
zebra,0.98762906,AeNtfGhY,100,1.2,1.735
leg,0.9436553,AeNtfGhY,101,1.285,1.645
call,0.83019656,AeNtfGhY,102,1.455,1.905
map,0.95273995,AeNtfGhY,103,1.1500000000000001,1.455
foot,NA,AeNtfGhY,104,1.04,1.24
trophy,0.98762906,AeNtfGhY,105,1.135,1.33
football,0.97034097,AeNtfGhY,106,1.07,1.6300000000000001
ear,0.9820321,AeNtfGhY,107,0.985,1.465
lamp,0.98762906,AeNtfGhY,108,0.93,1.2750000000000001
hook,0.9851506,AeNtfGhY,109,1.365,1.5350000000000001
fishtank,0.90061253,AeNtfGhY,110,1.51,2.085
carousel,0.9757692,AeNtfGhY,111,1.205,1.815
crab,0.92695177,AeNtfGhY,112,0.895,1.33
seahorse,1,AeNtfGhY,113,0.96,1.61
train,0.95069927,AeNtfGhY,114,1.41,1.805
battle,0.92678887,AeNtfGhY,115,0.9,1.29
Mountain,0.98762906,AeNtfGhY,116,1.28,1.77
hamburger,0.98762906,AeNtfGhY,117,0.99,1.855
mailbox,0.98271745,AeNtfGhY,118,0.915,1.5150000000000001
shirt,0.98762906,AeNtfGhY,119,1.3800000000000001,1.615
