transcript,confidence,Sub_Code,Trial,preciseStartTime,preciseEndTime
dragon,0.98762906,qwoPsBeF,240,1.185,1.32
mailbox,0.9698492,qwoPsBeF,241,1.375,1.5250000000000001
igloo,0.98762906,qwoPsBeF,242,1.135,1.235
Church,0.98762906,qwoPsBeF,243,1.495,1.6
insect,0.98762906,qwoPsBeF,244,1.81,2.025
tiger,0.98762906,qwoPsBeF,245,1.6300000000000001,1.76
seesaw,0.98762906,qwoPsBeF,246,1.72,1.895
dolphin,1,qwoPsBeF,247,0.925,1.05
robot,0.98762906,qwoPsBeF,248,0.96,1.085
peacock,0.98762906,S4TnrmmA,1,1.5649999999999997,1.6849999999999998
grapes,0.98762906,S4TnrmmA,2,0.9999999999999999,1.16
skis,0.98762906,S4TnrmmA,3,1.445,1.815
hanger,0.9774024,S4TnrmmA,4,1.5250000000000001,1.6300000000000001
ruler,0.98762906,S4TnrmmA,5,1.045,1.4999999999999998
toothbrush,0.98762906,S4TnrmmA,6,1.3349999999999997,1.6449999999999998
ball,0.97244626,S4TnrmmA,7,1.16,1.4249999999999998
saxophone,0.98762906,S4TnrmmA,8,NA,NA
cheese,0.98762906,S4TnrmmA,9,0.7749999999999999,1.7549999999999997
wheat,0.98762906,S4TnrmmA,10,1.2299999999999998,1.38
Queen,0.98762906,S4TnrmmA,11,1.1649999999999998,1.4849999999999999
finger,0.98762906,S4TnrmmA,12,1.3449999999999998,1.4899999999999998
Fork,0.98762906,S4TnrmmA,13,0.6299999999999999,1.255
key,0.9344515,S4TnrmmA,14,1.1149999999999998,1.3399999999999999
dentures,0.98762906,S4TnrmmA,15,1.76,1.915
cow,0.98403597,S4TnrmmA,16,0.93,1.23
hat,0.98762906,S4TnrmmA,17,1.4299999999999997,1.5349999999999997
cigarette,0.98762906,S4TnrmmA,18,1.18,1.5250000000000001
sheep,0.9621143,S4TnrmmA,19,1.36,1.655
lipstick,0.98762906,S4TnrmmA,20,1.01,1.11
carrot,0.98762906,S4TnrmmA,21,1.0199999999999998,1.2149999999999999
ax,0.5845593,S4TnrmmA,22,NA,NA
peas,0.96754247,S4TnrmmA,23,1.585,1.97
piano,0.98762906,S4TnrmmA,24,1.6049999999999998,1.9049999999999998
shoe,0.96157426,S4TnrmmA,25,0.93,1.2650000000000001
tank,0.9705619,S4TnrmmA,26,1.21,1.415
airplane,0.97649556,S4TnrmmA,27,1.035,1.4599999999999997
vacuum,0.98762906,S4TnrmmA,28,1.275,1.3999999999999997
hand,1,S4TnrmmA,29,1.0499999999999998,1.2449999999999999
zebra,0.98762906,S4TnrmmA,30,0.9999999999999999,1.4149999999999998
showerhead,0.838541,S4TnrmmA,31,1.0749999999999997,2.0149999999999997
backpack,0.98762906,S4TnrmmA,32,1.2799999999999998,1.3999999999999997
yacht,0.98762906,S4TnrmmA,33,2.9349999999999996,3.0849999999999995
lightning,0.98762906,S4TnrmmA,34,1.475,1.62
strawberry,0.98762906,S4TnrmmA,35,1.1099999999999999,1.5449999999999997
fountain,0.98762906,S4TnrmmA,36,1.6599999999999997,1.7999999999999998
NA,NA,S4TnrmmA,37,NA,NA
elephant,0.98762906,S4TnrmmA,38,1.035,1.2199999999999998
hammer,0.98762906,S4TnrmmA,39,1.6649999999999998,1.7849999999999997
lizard,0.98762906,S4TnrmmA,40,1.42,1.7850000000000001
dolphin,0.98762906,S4TnrmmA,41,1.0749999999999997,1.2449999999999999
steering wheel,1,S4TnrmmA,42,1.1099999999999999,1.5499999999999998
rake,0.97209406,S4TnrmmA,43,1.2650000000000001,1.435
wheelchair,0.98762906,S4TnrmmA,44,1.12,1.71
cage,0.96465456,S4TnrmmA,45,1.2199999999999998,1.5599999999999998
couch,0.98762906,S4TnrmmA,46,1.33,1.83
tennis racket,0.74507713,S4TnrmmA,47,1.2099999999999997,1.6799999999999997
no,0.79452467,S4TnrmmA,48,1.0899999999999999,1.3099999999999998
magnet,0.8936597,S4TnrmmA,49,1.2899999999999998,1.4249999999999998
bird,0.9717298,S4TnrmmA,50,1.04,1.365
flag,1,S4TnrmmA,51,1.2899999999999998,1.5849999999999997
basket,0.98762906,S4TnrmmA,52,1.0749999999999997,1.2149999999999999
book,0.96525484,S4TnrmmA,53,0.9599999999999999,1.065
comb,0.8030943,S4TnrmmA,54,1.015,1.2049999999999998
candle,0.98762906,S4TnrmmA,55,0.8799999999999999,1.3149999999999997
cloud,0.98762906,S4TnrmmA,56,1.1300000000000001,1.45
brush,0.98762906,S4TnrmmA,57,1.005,1.4499999999999997
mailbox,0.9698492,S4TnrmmA,58,1.8049999999999997,1.9299999999999997
oven,0.92619044,S4TnrmmA,59,1.155,1.2550000000000001
banana,0.98762906,S4TnrmmA,60,1.1199999999999999,1.2399999999999998
pirate,0.98762906,S4TnrmmA,61,1.4549999999999998,1.7199999999999998
cake,0.97981006,S4TnrmmA,62,1.2,1.3900000000000001
skateboard,0.98351496,S4TnrmmA,63,2.0349999999999997,2.3999999999999995
microscope,0.98762906,S4TnrmmA,64,1.7449999999999997,1.8599999999999997
bus,0.97677,S4TnrmmA,65,1.3899999999999997,1.5149999999999997
fishing pole,0.9329804,S4TnrmmA,66,1.0949999999999998,1.255
fence,0.98762906,S4TnrmmA,67,0.905,1.01
